|NAME: LUSAKA CITY COUNCIL|||||||||||
|2026  PERFORMANCE REPORT|||Period: 01-Jan-2026 to 30-Jun-2026||||||||
|REVENUE SOURCES|||||||||||
|#|Receipts|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
||    Number of orphans and vulnerable pupils provided pre-school education||200||886|0|686|4.43|||
||    Number of pre-school children enrolled||200||886|0|686|4.43|||
||    Number of learning kits & materials provided||1200||900|0|-300|0.75|||
||Public Order and Safety|88706940||35231257.27||-53475682.73|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Community Safety and Security Enhanced||||||||||
||    Number of compliance patrols undertaken||365||172|0|-193|0.4712328767123288|||
||    Number of Council Properties secured||74||74|0|0|1|||
||Fire Safety and Emergency Response Strengthened||||||||||
||    Percentage of emergency calls within 20-30 KM radius responded||100%||100%|0|0|1|||
||    Percentage of causes of fires determined||100%||100%|0|0|1|||
||    Number of fire certificates issued||46000||12149|0|-33851|0.26410869565217393|||
||Management and Support Services|244658282||82078538.59||-162579743.41|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Change Management Strategy Executed||||||||||
||    Percentage of municipal services accessed via digital platforms||70%||60%|0|-0.09999999999999998|0.8571428571428572|||
||    Percentage of citizen engagements through digital platforms conducted||50%||0|0|-0.5|0|||
||    Percentage increase in digital revenue collection||70%||0|0|-0.7|0|||
||Human Resource Management Strengthened||||||||||
||    Number of Council Police Officers recruited||70||100|0|30|1.4285714285714286|||
||    Number of Human resource reports prepared||12||3|0|-9|0.25|||
||Marriages Solemnized||||||||||
||    Percentage of marriages solemnized||100%||75%|0|-0.25|0.75|||
||Public Engagement and Awareness Strengthened||||||||||
||    Number of Local forums held||7||4|0|-3|0.5714285714285714|||
||    Number of media briefings held||24||13|0|-11|0.5416666666666666|||
||    Number of Municipal campaigns conducted||12||7|0|-5|0.5833333333333334|||
||ICT Systems and Infrastructure Optimized||||||||||
||    Percentage of ICT infrastructure maintained||100%||60%|0|-0.4|0.6|||
||    Number of Enterprise Resource Planning System operationalized||1||0|0|-1|0|||
||Financial Management and Reporting Strengthened||||||||||
||    Number of Financial Statements prepared||1||0|0|-1|0|||
||    Number of annual budgets prepared||1||0|0|-1|0|||
||    Percentage of council debt liquidated||8%||5%|0|-0.03|0.625|||
||Budget Performance and Accountability Monitored||||||||||
||    Number of budget performance reports produced||4||1|0|-3|0.25|||
||    Number of budget stakeholder meetings held||16||4|0|-12|0.25|||
||Land and Property Administration Strengthened||||||||||
||    Number of Title Deeds prepared||150||72|0|-78|0.48|||
||    Number of Offer letters processed||10||25|0|15|2.5|||
||    Number of change of ownership documents processed||500||310|0|-190|0.62|||
